CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 5122, 3.60GHz)",8,2,4,3600,16,585,551,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6126, 2.60GHz)",24,2,12,2600,48,1430,1350,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6128 3.40GHz)",12,2,6,3400,24,866,819,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6130, 2.10GHz)",32,2,16,2100,64,1620,1530,Aug-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6132, 2.60GHz)",28,2,14,2600,56,1620,1530,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6134, 3.20GHz)",16,2,8,3200,32,1120,1060,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6136, 3.00GHz)",24,2,12,3000,48,1570,1480,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6138, 2.00GHz)",40,2,20,2000,80,1900,1800,Aug-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6140, 2.00GHz)",36,2,18,2300,72,1880,1780,Aug-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6142, 2.60GHz)",32,2,16,2600,64,1790,1700,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6144, 3.50GHz)",16,2,8,3500,32,1180,1110,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6146, 3.20GHz)",24,2,12,3200,48,1610,1520,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6148, 2.40 GHz)",40,2,20,2400,80,2040,1940,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C220 M5 (Intel Xeon Gold 6154, 3.00GHz)",36,2,18,3000,72,2180,2080,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 5115, 2.40GHz)",20,2,10,2400,40,1050,998,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 5118, 2.30GHz)",24,2,12,2300,48,1190,1120,Aug-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 5120, 2.20GHz)",28,2,14,2200,56,1340,1260,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 5120, 2.20GHz)",28,2,14,2200,56,1330,1260,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 5122, 3.60GHz)",8,2,4,3600,16,584,549,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 6126, 2.60GHz)",24,2,12,2600,48,1430,1350,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 6128, 3.40GHz)",12,2,6,3400,24,869,818,Sep-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 6130, 2.10GHz)",32,2,16,2100,64,1620,1540,Aug-2017
CINT2006rate,"Cisco Systems","Cisco UCS C240 M5 (Intel Xeon Gold 6132, 2.60GHz)",28,2,14,2600,56,1620,1530,Sep-2017
